Date,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Species ,realYear,realDate
16-Dec-2004,2004.0,Unprovoked,AUSTRALIA,South Australia,Scurfing (surfboard being  towed behind a boat),M,FATAL,Y,4.5 m & 5 m white shark ,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='16-Dec-2004'>"
11-Dec-2004,2004.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,leg,Y,Bull shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='11-Dec-2004'>"
27-Nov-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,foot,N,Raggedtooth shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='27-Nov-2004'>"
26-Nov-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Playing,M,leg,N,Raggedtooth shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='26-Nov-2004'>"
15-Nov-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,F,FATAL,Y,6 m [20'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='15-Nov-2004'>"
11-Nov-2004,2004.0,Unprovoked,USA,California,Surfing,lli,leg,N,5.5 m [18'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='11-Nov-2004'>"
11-Nov-2004,2004.0,Unprovoked,VANUATU,Malampa Province,Snorkeling,M,thigh,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='11-Nov-2004'>"
31-Oct-2004,2004.0,Unprovoked,CUBA,Camaguey Province,Diving,M,arm,N,2.5 m [8.25'] bull shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='31-Oct-2004'>"
30-Oct-2004,2004.0,Invalid,NEW ZEALAND,North Island,,,NO INJURY,,Invalid,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='30-Oct-2004'>"
30-Oct-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Chumming for white sharks,M,foot,N,2 m [6.75'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='30-Oct-2004'>"
21-Oct-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,foot,N,"Bronze whaler shark, 2.4 m [8'] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='21-Oct-2004'>"
10-Oct-2004,2004.0,Unprovoked,USA,California,Surfing,M,leg,N,1.8 m to 2.4 m [6' to 8'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='10-Oct-2004'>"
09-Oct-2004,2004.0,Unprovoked,USA,Hawaii,Spearfishing,M,arm,N,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='09-Oct-2004'>"
09-Oct-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,foot,N,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='09-Oct-2004'>"
06-Oct-2004,2004.0,Unprovoked,REUNION,Conservatória District,Body boarding,M,leg,N,Thought to involve a 2.5 m bull or tiger shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='06-Oct-2004'>"
02-Oct-2004,2004.0,Unprovoked,USA,California,Surfing,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='02-Oct-2004'>"
01-Oct-2004,2004.0,Unprovoked,USA,California,Surfing,M,NO INJURY,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='01-Oct-2004'>"
25-Sep-2004,2004.0,Boat,AUSTRALIA,Queensland,Spearfishing/ filming,,NO INJURY,N,"Tiger shark, 3 m [10'] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='25-Sep-2004'>"
20-Sep-2004,2004.0,Unprovoked,USA,Oregon,Surfing,M,leg,N,White shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='20-Sep-2004'>"
10-Sep-2004,2004.0,Invalid,USA,Texas,Surf fishing,M,leg,,Shark involvement questionable,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='10-Sep-2004'>"
08-Sep-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,,FATAL,Y,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='08-Sep-2004'>"
04-Sep-2004,2004.0,Unprovoked,USA,South Carolina ,Jumping,F,leg,N,2.4 m [8'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='04-Sep-2004'>"
29-Aug-2004,2004.0,Unprovoked,USA,Florida,Walking,F,foot,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='29-Aug-2004'>"
21-Aug-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Bathing,M,hand,N,"Tiger shark, 1.5 m ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='21-Aug-2004'>"
20-Aug-2004,2004.0,Unprovoked,USA,California,Surfing,M,foot,N,0.9 m to 1.2 m [3' to 4'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='20-Aug-2004'>"
15-Aug-2004,2004.0,Unprovoked,USA,California,Diving,M,FATAL,Y,4.9 m to 5.5 m [16' to 18'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='15-Aug-2004'>"
06-Aug-2004,2004.0,Unprovoked,USA,Florida,Swimming,M,hand,N,1.2 m [4'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='06-Aug-2004'>"
03-Aug-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,leg,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='03-Aug-2004'>"
31-Jul-2004,2004.0,Unprovoked,USA,Florida,Surfing,F,foot,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='31-Jul-2004'>"
30-Jul-2004,2004.0,Unprovoked,RUSSIA,Kuril Islands in the Pacific,Diving & fishing with net,M,thigh,N,White shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='30-Jul-2004'>"
28-Jul-2004,2004.0,Unprovoked,USA,North Carolina,Surfing,F,leg,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='28-Jul-2004'>"
27-Jul-2004,2004.0,Unprovoked,USA,North Carolina,Swimming,F,arm,N,1.8 m [6'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='27-Jul-2004'>"
27-Jul-2004,2004.0,Unprovoked,USA,Texas,Swimming,F,foot,N,1.2 m to 1.5 m [4' to 5'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='27-Jul-2004'>"
25-Jul-2004,2004.0,Unprovoked,USA,Texas,Wading / fishing & carrying a bag of fish,M,leg,N,Bull shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='25-Jul-2004'>"
" 19-Jul-2004 Reported to have happened  ""on the weekend""",2004.0,Boating,AUSTRALIA,Western Australia,Fishing,,NO INJURY,N,4 m [13'] white shark,"<re.Match object; span=(8, 12), match='2004'>","<re.Match object; span=(1, 12), match='19-Jul-2004'>"
15-Jul-2004 ,2004.0,Unprovoked,JAPAN,Wakayama Prefecture,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,fin,N,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='15-Jul-2004'>"
10-Jul-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,leg,Y,"2 sharks, 4.5 m & 3 m ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='10-Jul-2004'>"
02-Jul-2004,2004.0,Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,F,hand,N,"""black tipped"" shark","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='02-Jul-2004'>"
02-Jul-2004,2004.0,Unprovoked,USA,Alabama,Wading,M,foot,N,4' to 5' shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='02-Jul-2004'>"
26-Jun-2004,2004.0,Unprovoked,USA,California,Surfing,M,NO INJURY,N,"9'2"" white shark","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='26-Jun-2004'>"
26-Jun-2004,2004.0,Invalid,AUSTRALIA,Western Australia,Crayfishing,M,NO INJURY,,Invalid,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='26-Jun-2004'>"
14-Jun-2004,2004.0,Unprovoked,USA,Florida,In water with diving seabirds,F,foot,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='14-Jun-2004'>"
10-Jun-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,foot,N,"Bronze whaler shark, 2.5 m [8.25'] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='10-Jun-2004'>"
10-Jun-2004,2004.0,Unprovoked,USA,Florida,Swimming,M,arm,N,1.2 m [4'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='10-Jun-2004'>"
02-Jun-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching perlemoen",M,leg,Y,White shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='02-Jun-2004'>"
29-May-2004,2004.0,Unprovoked,USA,Texas,Wading,M,Puncture wounds on shin,N,0.9 m to 1.5 m [3' to 5'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='29-May-2004'>"
23-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,foot,N,Bull shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='23-May-2004'>"
28-May-2004,2004.0,Unprovoked,USA,California,Surfing,M,NO INJURY,N,2.4 m to 3.7 m [8' to 12'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='28-May-2004'>"
23-May-2004,2004.0,Unprovoked,USA,Florida,Boogie-boarding / swimming,M,foot,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='23-May-2004'>"
22-May-2004,2004.0,Invalid,USA,Florida,Swimming,M,foot,,Shark involvement not confirmed,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='22-May-2004'>"
22-May-2004,2004.0,Unprovoked,USA,Florida,,F,foot,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='22-May-2004'>"
22-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Wading,F,thigh,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='22-May-2004'>"
18-May-2004,2004.0,Provoked,BAHAMAS,Abaco Islands,Free diving & spearfishing,M,arm,N,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='18-May-2004'>"
04-May-2004,2004.0,Unprovoked,USA,Texas,Tandem surfing,M,NO INJURY,N,"Mako shark, 1.8 m [6']","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='04-May-2004'>"
01-May-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,FATAL,Y,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='01-May-2004'>"
26-Apr-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Diving,M,Puncture wounds on wrist,N,"Wobbegong shark, 1.2 m [4'] k","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='26-Apr-2004'>"
22-Apr-2004,2004.0,Boat,NEW ZEALAND,North Island,Fishing,,NO INJURY,N,"White shark, 5.5 m [18']","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='22-Apr-2004'>"
13-Apr-2004,2004.0,Unprovoked, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,leg,Y,small sharks,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='13-Apr-2004'>"
13-Apr-2004,2004.0,Invalid, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,arm,Y,Questionable Incident,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='13-Apr-2004'>"
07-Apr-2004,2004.0,Unprovoked,USA,Hawaii,Surfing,M,thigh,Y,Tiger shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='07-Apr-2004'>"
05-Apr-2004,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,leg,N,5 m [16.5'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='05-Apr-2004'>"
04-Apr-2004,2004.0,Invalid,USA,Hawaii,Surfing,F,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",,Shark involvement prior to death was not confirmed,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='04-Apr-2004'>"
31-Mar-2004,2004.0,Unprovoked,USA,Florida,,M,foot,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='31-Mar-2004'>"
31-Mar-2004,2004.0,Unprovoked,USA,Florida,Surfing,M,foot,N,1.2 m [4'] bull shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='31-Mar-2004'>"
29-Mar-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Body boarding,M,leg,N,bull shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='29-Mar-2004'>"
28-Mar-2004,2004.0,Unprovoked,USA,Florida,Surfing,M,foot,N,bull shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='28-Mar-2004'>"
27-Mar-2004,2004.0,Unprovoked,REUNION,Saint-Benoît,Surfing,M,thigh,N,2.5 m shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='27-Mar-2004'>"
27-Mar-2004,2004.0,Unprovoked,USA,Florida,Swimming,M,arm,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='27-Mar-2004'>"
14-Mar-2004,2004.0,Unprovoked,USA,Hawaii,Snorkeling,F,foot,N,1.8 m [6'] shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='14-Mar-2004'>"
22-Mar-2004,2004.0,Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,NO INJURY,N,Bronze whaler shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='22-Mar-2004'>"
16-Mar-2004,2004.0,Unprovoked,USA,Hawaii,Surfing,M,NO INJURY,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='16-Mar-2004'>"
06-Mar-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,leg,N,"Bronze whaler shark, 1.5 m [5'] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='06-Mar-2004'>"
29-Feb-2004,2004.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,thigh,Y,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='29-Feb-2004'>"
26-Feb-2004,2004.0,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Surfing,M,thigh,N,2 m [6.75'] sevengill  shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='26-Feb-2004'>"
21-Feb-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,foot,N,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='21-Feb-2004'>"
16-Feb-2004,2004.0,Invalid,AUSTRALIA,Queensland,Free diving & spearfishing,M,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",,Shark involvement not confirmed,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='16-Feb-2004'>"
14-Feb-2004,2004.0,Unprovoked,EGYPT,,Snorkeling,M,FATAL,Y,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='14-Feb-2004'>"
11-Feb-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,leg,N,"60 cm [23.6""] blind or brown shark","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='11-Feb-2004'>"
25-Jan-2004,2004.0,Unprovoked,AUSTRALIA,Western Australia,Scuba diving,M,leg,N,4 m to 5 m [13' to 16.5'] white shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='25-Jan-2004'>"
23-Jan-2004,2004.0,Unprovoked,URUGUAY,Rocha,Surfing,M,foot,N,Possibily a  1.5 to 2 m sandtiger shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='23-Jan-2004'>"
22-Jan-2004,2004.0,Invalid,NEW ZEALAND,Northlands,Boogie boarding,M,NO INJURY,,Shark involvement doubtful,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='22-Jan-2004'>"
21-Jan-2004,2004.0,Unprovoked,VENEZUELA,Anzoategui,Swimming,M,hand,N,"Bull shark, 1.65 m [5'5""] was speared & killed","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='21-Jan-2004'>"
21-Jan-2004,2004.0,Unprovoked,VENEZUELA,Anzoategui,Spearfishing,M,leg,N,"Bull shark, 132-kg [291-lb] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='21-Jan-2004'>"
Reported 15-Jan-2004 ,2004.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,M,NO INJURY,N,"Mako shark, 3 m to 4 m [10' to 13'] ","<re.Match object; span=(16, 20), match='2004'>","<re.Match object; span=(9, 20), match='15-Jan-2004'>"
12-Jan-2004,2004.0,Unprovoked,AUSTRALIA,New South Wales,Diving,M,NO INJURY,N,"Raggedtooth shark, 3.5 m [11.5'] ","<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='12-Jan-2004'>"
07-Jan-2004,2004.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,foot,N,Raggedtooth shark,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='07-Jan-2004'>"
03-Jan-2004,2004.0,Invalid,NEW ZEALAND,North Island,Kayaking (returning from spearfishing),M,NO INJURY,,Invalid,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='03-Jan-2004'>"
03-Jan-2004,2004.0,Sea Disaster,EGYPT,Sinai Peninsula,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,"No survivors, sharks scavenged on remains",Y,,"<re.Match object; span=(7, 11), match='2004'>","<re.Match object; span=(0, 11), match='03-Jan-2004'>"
31-Dec-2003,2003.0,Boating,SOUTH AFRICA,KwaZulu-Natal,,,NO INJURY,N,Shortfin mako shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='31-Dec-2003'>"
26-Dec-2003,2003.0,Invalid,USA,Florida,Swimming,M,leg,,Questionable Incident,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='26-Dec-2003'>"
13-Dec-2003,2003.0,Unprovoked,USA,Florida,Swimming,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='13-Dec-2003'>"
13-Dec-2003,2003.0,Unprovoked,NEW ZEALAND,Cook Islands,Swimming / shipwreck,M,FATAL,Y,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='13-Dec-2003'>"
08-Dec-2003,2003.0,Unprovoked,AUSTRALIA,Victoria,Surfing amid a shoal of sharks,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='08-Dec-2003'>"
30-Nov-2003,2003.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,thigh,N,"Wobbegong shark, 1.2 m [4'] ","<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='30-Nov-2003'>"
30-Nov-2003,2003.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,foot,N,"Wobbegong shark, 1.2 m [4'] ","<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='30-Nov-2003'>"
27-Nov-2003,2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,FATAL,Y,"Tiger shark, 4 m [13']  ?","<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='27-Nov-2003'>"
22-Nov-2003,2003.0,Unprovoked,USA,Florida,Surfing,F,leg,N,4' shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='22-Nov-2003'>"
12-Nov-2003 ,2003.0,Unprovoked,INDIA,Tamil Nadu,Swimming or surfing,M,hand,N,Tiger shark?,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='12-Nov-2003'>"
12-Nov-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,hand,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='12-Nov-2003'>"
06-Nov-2003,2003.0,Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,M,hand,N,2.5 oceanic whitetip shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='06-Nov-2003'>"
06-Nov-2003,2003.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,,NO INJURY,N,White shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='06-Nov-2003'>"
01-Nov-2003,2003.0,Unprovoked,AUSTRALIA,New South Wales,Standing,M,leg,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='01-Nov-2003'>"
31-Oct-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,1.2 m to 1.5 m [4' to 5'] shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='31-Oct-2003'>"
31-Oct-2003,2003.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,foot,N,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark","<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='31-Oct-2003'>"
31-Oct-2003,2003.0,Unprovoked,USA,Hawaii,Surfing,F,arm,N,"Tiger shark, 14' ","<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='31-Oct-2003'>"
27-Oct-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='27-Oct-2003'>"
24-Oct-2003,2003.0,Invalid,USA,Hawaii,Snorkeling,M,arm,,Shark involvement not confirmed,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='24-Oct-2003'>"
14-Oct-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,1.2 m [4'] shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='14-Oct-2003'>"
06-Oct-2003,2003.0,Invalid,USA,Florida,Swimming to shore from boat or kayak,M,FATAL,Y,Shark involvement prior to death was not confirmed,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='06-Oct-2003'>"
05-Oct-2003,2003.0,Unprovoked,USA,Florida,Surfing,F,hand,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='05-Oct-2003'>"
05-Oct-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='05-Oct-2003'>"
05-Oct-2003,2003.0,Provoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='05-Oct-2003'>"
05-Oct-2003,2003.0,Unprovoked,USA,Florida,Sitting on surfboard,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='05-Oct-2003'>"
05-Oct-2003,2003.0,Unprovoked,USA,Hawaii,Wading near a fishing net,F,leg,N,"1.2 m [4'] ""grey-colored shark""","<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='05-Oct-2003'>"
29-Sep-2003,2003.0,Unprovoked,FIJI,Taveuni,Wading to shore from his boat,M,FATAL,Y,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='29-Sep-2003'>"
28-Sep-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,arm,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='28-Sep-2003'>"
21-Sep-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='21-Sep-2003'>"
19-Sep-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='19-Sep-2003'>"
17-Sep-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='17-Sep-2003'>"
14-Sep-2003,2003.0,Unprovoked,USA,Florida,Surfing,M,foot,N,3' shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='14-Sep-2003'>"
14-Sep-2003,2003.0,Boat,SOUTH AFRICA,Western Cape Province,Fishing ,,NO INJURY,N,2 m cow shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='14-Sep-2003'>"
14-Sep-2003,2003.0,Invalid,USA,Florida,Swimming,F,thigh,,Shark involvement doubtful,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='14-Sep-2003'>"
13-Sep-2003,2003.0,Unprovoked,USA,Florida,Body boarding,M,leg,N,6' shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='13-Sep-2003'>"
13-Sep-2003,2003.0,Unprovoked,USA,South Carolina,"Standing, stepped on shark",M,foot,N,7' shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='13-Sep-2003'>"
12-Sep-2003,2003.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,M,thigh,Y,White shark,"<re.Match object; span=(7, 11), match='2003'>","<re.Match object; span=(0, 11), match='12-Sep-2003'>"
